"Número de armas registradas en EE. UU. en 2021, por Estado",Unnamed: 1
ESTADO,ARMAS
Texas,1006555
Florida,518725
Virginia,423707
California,406360
Pensilvania,348167
Georgia,304124
Arizona,258691
Carolina del Norte,222166
Ohio,208661
Alabama,194920
Washington,165534
Indiana,157546
Luisiana,152061
Tennessee,151536
Colorado,149382
Illinois,144749
Wyoming,142247
Maryland,136257
Arkansas,133981
Minnesota,129825
Nuevo México,122968
Carolina del Sur,119205
Nevada,119007
Utah,118408
Missouri,113351
Michigan,109835
Kentucky,108833
Oklahoma,103368
Nueva Jersey,102228
Oregón,97474
Wisconsin,95430
Nueva York,92191
Mississippi,80712
Idaho,76425
Connecticut,74874
Distrito de Columbia,74315
Nuevo Hampshire,72433
Kansas,69850
Dakota del Sur,64666
Iowa,54178
Virginia Occidental,50963
Massachusetts,45138
Nebraska,43261
Montana,36678
Dakota del Norte,30975
Alaska,28237
Maine,21396
Vermont,9451
Hawai,9280
Delaware,6092
Rhode Island,4887
*Otros territorios de EE.UU.,872
TOTAL,7512175
